"id","territorio","mujeres","hombres","total"
80225,"Kovin",76.32,66.91,71.35
80233,"Kula",77.24,70.72,73.93
80241,"Mali Iđoš",74,67.45,71.06
80250,"Nova Crnja",73.99,67.61,70.79
80268,"Novi Bečej",74.95,67.9,71.55
80276,"Novi Kneževac",73.41,67.71,70.55
80284,"Novi Sad",77.73,72.44,75.22
80292,"Opovo",75.84,71.18,73.58
80306,"Odžaci",74.93,70.61,72.79
80314,"Pančevo",77.13,71.43,74.3
80322,"Pećinci",76,70.85,73.36
80349,"Plandište",75.03,69.17,72.14
80357,"Ruma",76.63,70.39,73.53
80365,"Senta",75.29,69.46,72.46
80373,"Sečanj",69.63,69.91,70.02
80381,"Sombor",76.45,70.95,73.73
80390,"Srbobran",74.3,68.94,71.65
80403,"Sremska Mitrovica",76.44,70.57,73.48
80411,"Sremski Karlovci",77.61,72.26,74.92
80420,"Stara Pazova",77.99,72.77,75.35
80438,"Subotica",75.69,70.12,72.95
80446,"Temerin",76.86,71.86,74.49
80454,"Titel",76.52,69.72,73.32
80462,"Vrbas",75.78,70,72.96
80489,"Čoka",70.95,67.62,69.49
80497,"Šid",76,71.03,73.64
80519,"Petrovaradin",79.19,74.4,76.88
89010,"City Novi Sad",77.92,72.69,75.42
"RS","REPUBLIC OF SERBIA",77.12,71.96,74.53
"RS1","SRBIJA – SEVER",77.25,71.76,74.53
"RS11","Beogradski region",78.13,73.03,75.67
"RS110","Beogradska oblast",78.13,73.03,75.67
"RS12","Region Vojvodine",76.5,70.78,73.62
"RS121","Zapadnobačka oblast",76.61,70.84,73.74
"RS122","Južnobanatska oblast",76.15,70.19,73.16
"RS123","Južnobačka oblast",77.17,71.55,74.39
"RS124","Severnobanatska oblast",75.51,69.5,72.45
"RS125","Severnobačka oblast",75.69,69.96,72.86
"RS126","Srednjobanatska oblast",75.49,69.61,72.51
"RS127","Sremska oblast",76.85,71.36,74.09
"RS2","SRBIJA – JUG",77.02,72.12,74.52
"RS21","Region Šumadije i Zapadne Srbije",77.23,72.45,74.82
"RS211","Zlatiborska oblast",77.26,72.8,75.05
"RS212","Kolubarska oblast",77.44,72.16,74.71
"RS213","Mačvanska oblast",76.51,71.46,73.96
"RS214","Moravička oblast",78.35,73.27,75.79
"RS215","Pomoravska oblast",76.69,71.59,74.12
"RS216","Rasinska oblast",77.46,72.88,75.13
"RS217","Raška oblast",76.85,72.77,74.78
"RS218","Šumadijska oblast",77.39,72.53,74.94
"RS22","Region Južne i Istočne Srbije",76.73,71.67,74.12
"RS221","Borska oblast",76.36,70.25,73.23
"RS222","Braničevska oblast",76.74,71.18,73.97
"RS223","Zaječarska oblast",77.37,71.54,74.42
"RS224","Jablanička oblast",76.12,71.51,73.77
"RS225","Nišavska oblast",77.12,72.14,74.59
"RS226","Pirotska oblast",76.71,72.2,74.35
"RS227","Podunavska oblast",77.2,71.49,74.3
"RS228","Pčinjska oblast",75.67,71.47,73.5
"RS229","Toplička oblast",75.89,71.85,73.81
